Start Distance log 
Login date and time: 17-1-2021 12:01:17

docks has started -------------------------    5,405528
13,28    5,425528
14,4    5,508442
16,08    5,639645
17,2    5,710801
18,88    5,833173
20,84001    5,963743
21,68001    6,036987
23,08002    6,133403
24,76002    6,241566
25,60002    6,314645
27,28003    6,42416
28,68003    6,538581
29,80003    6,609004
31,20004    6,710508
32,88003    6,827841
34,28003    6,938303
35,96002    7,054858
37,36001    7,14469
38,76001    7,245454
39,88    7,322461
41,27999    7,432019
42,67999    7,535194
44,07998    7,622645
45,19998    7,718225
47,15997    7,85962
48,27996    7,934093
49,39996    8,017356
51,35995    8,150873
52,75994    8,250492
54,15994    8,356488
55,83993    8,473971
57,23993    8,570897
58,63992    8,66125
59,75991    8,740978
61,15991    8,854733
62,8399    8,97299
64,2399    9,073974
65,63989    9,16462
67,03989    9,262261
68,43988    9,360684
69,55988    9,454037
70,67987    9,539466
72,07986    9,636007
73,47986    9,735899
74,59985    9,812138
76,27985    9,929297
77,67984    10,0288
79,35983    10,15217
81,03983    10,26462
82,43982    10,37894
83,83981    10,46665
85,7998    10,61659
87,4798    10,73237
88,87979    10,83966
90,55978    10,94115
91,67978    11,0263
93,07977    11,13308
94,53995    11,23412
96,21994    11,34306
97,61993    11,45431
99,29993    11,56217
100,4199    11,65109
101,5399    11,73012
102,6599    11,81317
104,0599    11,91378
105,1799    11,99953
106,8599    12,10231
108,2599    12,20037
109,3799    12,28724
110,4999    12,36641
111,6199    12,44275
112,7399    12,53224
113,8599    12,61027
115,8199    12,74083
116,9398    12,8227
118,6198    12,94113
119,7398    13,02285
120,8598    13,11518
122,2598    13,20591
123,9398    13,33875
125,0598    13,41971
127,0198    13,5542
128,1398    13,63297
129,5398    13,72618
130,6598    13,80684
132,3398    13,92484
133,7398    14,0333
135,4198    14,1415
136,2598    14,21464
137,9398    14,32897
139,6198    14,4445
140,4597    14,51085
142,4197    14,64313
143,5397    14,7381
144,9397    14,82141
146,8997    14,97404
148,2997    15,07683
149,4197    15,15692
150,8319    15,24171
151,9519    15,3275
153,0719    15,40633
155,3119    15,56015
156,1519    15,63677
157,2719    15,70846
158,9519    15,82011
160,6319    15,94421
161,7519    16,0202
163,4319    16,15097
