Start Distance to Gillface log 
Login date and time: 17-1-2021 12:01:17

docks has started -------------------------    5,405528
4,995555    5,425528
5,12058    5,508442
5,226154    5,639645
5,492276    5,710801
5,703823    5,833173
6,096984    5,963743
6,058054    6,036987
6,301069    6,133403
6,683117    6,241566
6,646177    6,314645
7,011997    6,42416
7,038948    6,538581
7,313873    6,609004
7,495827    6,710508
7,767834    6,827841
7,842281    6,938303
8,12361    7,054858
8,441435    7,14469
8,623945    7,245454
8,81039    7,322461
8,878857    7,432019
9,020378    7,535194
9,350079    7,622645
9,296944    7,718225
9,514198    7,85962
9,713066    7,934093
9,800747    8,017356
10,09921    8,150873
10,25546    8,250492
10,32786    8,356488
10,53141    8,473971
10,70875    8,570897
10,96551    8,66125
11,07382    8,740978
11,02674    8,854733
11,19699    8,97299
11,303    9,073974
11,53779    9,16462
11,67914    9,262261
11,80656    9,360684
11,71588    9,454037
11,72475    9,539466
11,8658    9,636007
11,95931    9,735899
12,07913    9,812138
12,21717    9,929297
12,30408    10,0288
12,3511    10,15217
12,5372    10,26462
12,4132    10,37894
12,63992    10,46665
12,58902    10,61659
12,7094    10,73237
12,65906    10,83966
12,96278    10,94115
12,92465    11,0263
12,86868    11,13308
12,94677    11,23412
13,13228    11,34306
13,00127    11,45431
13,19221    11,56217
13,0807    11,65109
13,10329    11,73012
13,06755    11,81317
13,06394    11,91378
12,98438    11,99953
13,22285    12,10231
13,24361    12,20037
13,13834    12,28724
13,13889    12,36641
13,17707    12,44275
13,02605    12,53224
13,0351    12,61027
13,13058    12,74083
13,07808    12,8227
13,05682    12,94113
13,00002    13,02285
12,78732    13,11518
12,87438    13,20591
12,62565    13,33875
12,56677    13,41971
12,56241    13,5542
12,52882    13,63297
12,56062    13,72618
12,49363    13,80684
12,43214    13,92484
12,22636    14,0333
12,2998    14,1415
12,05127    14,21464
12,0253    14,32897
11,97626    14,4445
11,82085    14,51085
11,79099    14,64313
11,47867    14,7381
11,61894    14,82141
11,26378    14,97404
11,09998    15,07683
10,99814    15,15692
11,11423    15,24171
10,91968    15,3275
10,82919    15,40633
10,7002    15,56015
10,35651    15,63677
10,36681    15,70846
10,31418    15,82011
10,06248    15,94421
9,996826    16,0202
9,630951    16,15097
