Start Distance to Gillface log 
Login date and time: 17-1-2021 10:51:12

docks has started -------------------------    40,1639
13,04    40,1839
13,17257    40,26605
13,36529    40,36618
13,4711    40,47316
13,75684    40,56496
13,77363    40,67853
13,97173    40,77688
14,29121    40,86503
14,45126    40,96587
14,59411    41,06776
14,79223    41,16487
15,01232    41,28242
15,06691    41,36793
15,12423    41,47535
15,401    41,58723
15,50153    41,66826
15,76611    41,78042
15,7126    41,8731
15,80754    41,97586
16,14577    42,08117
16,13604    42,16957
16,25166    42,26977
16,24298    42,37931
16,52498    42,46598
16,62483    42,56648
16,66848    42,67099
16,66225    42,779
16,91011    42,86723
16,83548    42,9798
17,16699    43,0824
17,10488    43,17208
17,09923    43,2784
17,24882    43,3727
17,33475    43,4715
17,49086    43,56477
17,53802    43,6868
17,58938    43,76643
17,65773    43,86539
17,77061    43,98147
17,80053    44,08264
17,76962    44,16739
17,75594    44,27119
17,78896    44,41224
17,89727    44,46563
17,88374    44,56852
17,82029    44,67474
17,78866    44,77832
17,90673    44,87081
17,92034    44,97056
17,83706    45,07698
17,9631    45,18811
18,05092    45,28168
17,79894    45,37924
17,88828    45,47219
17,93542    45,56787
18,01653    45,68063
17,92712    45,76569
17,89754    45,86596
17,86929    45,96586
17,69911    46,07537
17,84551    46,18199
16,01199    46,26744
13,69047    46,37958
11,55344    46,47867
9,52774    46,56985
7,464394    46,66592
7,098106    46,77811
7,415047    46,86837
7,647217    46,96568
7,827377    47,06734
8,017754    47,16814
8,186874    47,2705
8,458694    47,36402
8,603447    47,46773
8,862656    47,58469
8,990555    47,6661
9,054291    47,7754
9,235405    47,87477
9,517555    47,96562
9,63765    48,06931
9,819069    48,1677
9,994484    48,26627
10,15085    48,36604
10,14467    48,47849
10,47155    48,56403
10,55872    48,66836
10,73209    48,76553
10,69    48,87939
10,93787    48,97006
11,19152    49,08195
11,26085    49,16412
11,44028    49,28111
11,33501    49,37633
11,46787    49,47451
11,53026    49,57782
11,80603    49,6644
11,85005    49,76852
11,9571    49,86748
12,0331    49,96851
12,24066    50,08051
12,24258    50,1865
12,40533    50,28002
12,23695    50,37712
12,46574    50,46515
12,58612    50,582
12,59317    50,66514
12,48332    50,77761
12,68681    50,86747
12,61594    50,97639
12,79782    51,06631
12,83276    51,16681
12,95694    51,28099
12,82843    51,37233
12,76422    51,47916
12,98485    51,56496
12,83981    51,67705
12,97467    51,76856
12,96729    51,89024
13,0127    51,9675
12,89832    52,0761
12,87173    52,17808
12,87044    52,27798
13,04216    52,38519
13,08308    52,48151
13,02101    52,56507
12,81015    52,67863
12,87358    52,77258
12,96323    52,86445
12,98042    52,98069
12,71758    53,07707
12,64799    53,17921
12,81383    53,28415
12,66025    53,37217
12,67482    53,46769
12,62878    53,56712
12,41455    53,67779
12,36591    53,77683
12,45938    53,86592
12,23553    53,97635
12,29059    54,06757
12,25108    54,16495
12,16756    54,26503
12,02347    54,36892
11,96899    54,4665
11,90417    54,56454
11,65372    54,67468
11,62    54,78871
11,63881    54,88036
11,34352    54,97404
11,31209    55,06856
11,22366    55,18501
10,92662    55,27806
10,90831    55,37096
10,77563    55,47111
10,78285    55,58012
10,38281    55,6789
10,29068    55,77562
10,15981    55,87461
10,16234    55,98278
10,04721    56,08022
9,697495    56,17451
9,687027    56,26479
9,538315    56,36367
9,370407    56,48132
9,152344    56,58406
8,977921    56,66605
8,691116    56,77265
8,631531    56,88228
8,26001    56,97604
8,025223    57,07855
8,059174    57,164
8,117722    57,2653
8,390411    57,38245
8,366379    57,47741
8,583771    57,57525
8,783371    57,67425
8,941895    57,7763
9,258896    57,86504
9,373779    57,97001
9,522995    58,07183
9,64917    58,17518
9,931046    58,28822
9,97261    58,37514
10,2506    58,46531
10,2592    58,57676
10,40855    58,67659
10,5822    58,77419
10,83807    58,86497
10,9483    58,96699
10,95392    59,07693
11,06226    59,17841
11,43835    59,28054
11,52649    59,38297
11,40518    59,47958
11,77655    59,5811
11,69296    59,67421
11,72537    59,77969
11,99515    59,88808
11,93405    59,9786
12,27029    60,08127
12,28586    60,16542
12,18738    60,27924
12,32172    60,37506
12,38409    60,47605
12,48535    60,57381
12,62097    60,68969
12,7504    60,76379
12,79611    60,86484
12,65051    60,97979
12,79907    61,07258
12,75256    61,17952
13,02661    61,28315
13,0332    61,36498
12,86798    61,47969
12,93484    61,5771
13,17029    61,68232
13,15759    61,76461
13,13565    61,86763
13,00934    61,97789
13,07578    62,07392
13,19144    62,16616
13,27335    62,2806
13,75986    62,36581
15,51028    62,48041
16,80249    62,58743
17,76968    62,67752
19,23978    62,7714
20,51572    62,87869
22,07898    62,96552
22,63281    63,06398
22,4776    63,17255
22,4454    63,27225
22,5126    63,36478
22,52573    63,48018
22,47867    63,58006
22,20847    63,67577
22,17978    63,77384
22,0929    63,87564
22,03604    63,97511
21,94025    64,07695
21,93256    64,17255
21,92203    64,26809
21,87085    64,36613
21,66357    64,47441
21,56992    64,57475
21,44507    64,6769
21,48508    64,76778
21,24622    64,87701
21,16983    64,97514
21,1185    65,08987
20,98383    65,17281
20,99576    65,26435
20,73795    65,37339
20,63232    65,47215
20,54828    65,58754
20,47263    65,6838
20,27652    65,78764
20,23984    65,88089
20,07925    65,98191
19,80261    66,07209
19,54089    66,17911
19,43588    66,27579
19,43164    66,3837
19,20065    66,47004
18,94507    66,57559
18,71674    66,67912
18,64944    66,77219
18,49451    66,87057
18,20166    66,97739
18,11972    67,07068
17,98193    67,16725
17,71246    67,27183
17,53812    67,3702
17,45026    67,48038
17,00711    67,57755
16,81036    67,67656
16,64319    67,7908
16,43991    67,87244
16,13626    67,9773
15,96497    68,07378
15,69638    68,17599
15,4592    68,27602
15,21887    68,376
14,87076    68,4791
14,74619    68,57157
14,47134    68,67292
14,2009    68,77376
12,11829    68,87782
9,745575    68,97829
7,567993    69,06685
5,673706    69,16637
3,616699    69,27945
2,977631    69,37936
3,276855    69,4711
3,561707    69,56403
3,647552    69,67354
3,888641    69,77011
3,996948    69,87775
4,187683    69,97852
4,476501    70,07112
4,810547    70,18329
4,901733    70,26902
5,14679    70,3886
5,39566    70,48452
5,472839    70,58309
4,887177    70,67857
4,48233    70,77065
3,966492    70,87197
3,542175    70,96567
2,96347    71,07224
2,533142    71,16644
1,932434    71,2865
1,452576    71,38483
docks has started -------------------------    234,8495
4,995555    234,8695
5,054741    234,9579
5,328644    235,0517
5,609765    235,1683
5,845766    235,2653
5,910088    235,3533
6,087086    235,4552
6,373329    235,5714
6,642401    235,6656
6,73674    235,7511
7,016972    235,8677
7,254333    235,9646
7,304768    236,0537
7,508158    236,1535
7,69232    236,2548
7,983549    236,3705
8,100456    236,454
8,309845    236,5528
8,501202    236,6528
8,618217    236,7586
8,845757    236,8549
9,083443    236,9501
9,256725    237,0503
9,531857    237,1646
9,581047    237,2514
9,720203    237,3533
9,880199    237,4533
9,953045    237,5599
10,34127    237,6633
10,37021    237,7504
10,51062    237,8506
10,59167    237,9552
10,67426    238,0593
10,90656    238,1514
10,99725    238,2542
11,28003    238,3636
9,688499    238,4638
8,007    238,5511
5,807487    238,6631
3,898369    238,7639
1,939564    238,8688
1,584599    238,9567
1,982887    239,0635
1,980587    239,157
2,352974    239,266
2,41021    239,3546
2,589767    239,4563
2,810135    239,5546
2,976364    239,6574
3,26059    239,7504
3,59446    239,8625
3,625946    239,9532
3,98214    240,0636
4,132355    240,1677
4,186981    240,2565
4,568481    240,3647
4,645317    240,4516
4,978546    240,5639
4,968651    240,658
5,172211    240,7577
5,442703    240,8518
5,746078    240,9666
5,861084    241,0503
6,017143    241,154
6,329216    241,268
6,404953    241,355
6,824371    241,46
6,862694    241,5502
7,17765    241,6639
7,391556    241,7628
7,415779    241,8541
7,620384    241,9537
8,007507    242,0614
7,978897    242,1571
5,837357    242,2656
4,158516    242,3588
2,289246    242,4563
