Start Distance log 
Login date and time: 11-1-2021 17:25:18

docks has started -------------------------    0
13    0,02
14,12    0,1102752
15,52    0,2167684
16,92    0,3094436
18,32    0,4007449
19,72001    0,5121218
21,12001    0,6167542
22,80001    0,7205147
23,92002    0,8135521
25,32002    0,9109144
26,72002    1,015454
28,12003    1,116716
29,80003    1,222242
30,92003    1,304893
32,60003    1,425145
34,00003    1,522176
35,12002    1,605357
36,52002    1,70634
37,92001    1,804595
39,32    1,907875
40,72    2,019148
42,11999    2,100977
43,51999    2,203784
44,91998    2,301448
46,31997    2,41253
47,71997    2,512894
49,39996    2,624706
50,51995    2,713305
51,91995    2,817557
53,31994    2,907517
54,99994    3,024082
56,11993    3,104775
57,51992    3,200824
58,91992    3,310538
60,31991    3,405729
61,71991    3,501274
63,1199    3,607509
64,5199    3,713639
65,91989    3,813746
67,31989    3,91375
68,71988    4,006818
70,11987    4,117986
71,51987    4,216871
72,91986    4,306556
74,31985    4,417615
75,71985    4,50978
77,11984    4,600595
78,51984    4,715639
79,91983    4,812108
81,31982    4,916122
82,71982    5,003444
84,11981    5,11642
85,51981    5,210093
86,9198    5,312632
88,31979    5,40616
89,71979    5,50177
91,11978    5,613041
92,51978    5,71248
93,91977    5,814207
95,31976    5,915918
96,71976    6,002753
98,11975    6,116952
99,51974    6,214505
100,9197    6,303194
102,3197    6,412628
103,7197    6,50346
105,1197    6,603422
106,5197    6,717062
107,9197    6,812821
109,3197    6,912621
110,9997    7,026984
112,1197    7,105866
113,5197    7,217037
114,9197    7,312032
116,2919    7,406794
117,6919    7,51333
119,0919    7,601929
120,4919    7,710366
121,8919    7,81705
123,2919    7,907114
124,6919    8,018304
126,0919    8,116991
127,4919    8,203596
128,8919    8,316216
130,5719    8,420506
131,6919    8,50695
133,0919    8,610727
134,4919    8,706603
135,8919    8,813748
137,2919    8,907761
138,6918    9,005084
140,0918    9,117596
141,4918    9,214159
143,1718    9,32085
144,5718    9,421944
145,6918    9,50813
147,0918    9,610794
148,4918    9,714766
149,8918    9,801529
151,2918    9,905936
152,6918    10,00555
154,0918    10,11304
155,7718    10,22238
156,8918    10,31778
158,2918    10,41902
159,9718    10,52115
161,0918    10,61734
162,7717    10,721
164,1717    10,82561
165,2917    10,90498
166,9717    11,02236
168,0917    11,10296
169,7717    11,22487
170,8917    11,30104
172,2917    11,41587
173,6917    11,50951
175,3717    11,62747
176,4917    11,71411
177,8917    11,80488
179,2917    11,91194
180,6917    12,01354
182,3717    12,12751
183,4917    12,21233
184,8916    12,30194
186,2916    12,41177
187,9716    12,52244
189,0916    12,60735
190,4916    12,71453
191,8916    12,80373
193,2916    12,91059
194,9716    13,02853
196,3716    13,12593
197,7716    13,22115
198,8916    13,3021
200,2916    13,40536
201,6916    13,51333
203,0916    13,60349
204,4916    13,70708
205,8916    13,81026
207,2915    13,90866
208,6915    14,011
210,0915    14,11113
211,4915    14,20293
212,8915    14,30811
214,5715    14,42044
215,6915    14,51474
217,0915    14,60846
218,7715    14,72244
219,8915    14,81871
221,2915    14,90517
223,2515    15,04223
224,3715    15,12226
225,4915    15,21291
226,8915    15,31101
228,5715    15,42063
229,9715    15,52318
231,0914    15,61251
232,4914    15,70348
233,8914    15,80426
235,2914    15,90324
236,6914    16,00999
238,0914    16,10499
239,4914    16,2156
240,8914    16,31048
242,2914    16,4066
243,6914    16,50523
245,0914    16,60434
246,4914    16,70462
247,8914    16,81533
249,2914    16,91327
250,6914    17,01984
252,0914    17,11512
253,4913    17,21744
254,8913    17,30582
256,2914    17,40262
257,6913    17,50287
259,0913    17,60311
260,4913    17,7147
261,8913    17,80829
263,2913    17,9081
264,6913    18,00217
266,0913    18,10744
267,4913    18,21103
268,8913    18,30838
270,2913    18,40613
271,6913    18,50534
273,0913    18,61619
274,4913    18,70644
275,8913    18,80847
277,2913    18,91216
278,6913    19,00513
280,0912    19,11761
281,4912    19,21728
282,8912    19,317
284,2912    19,41853
285,6912    19,50838
287,0912    19,61422
288,4912    19,70921
289,8912    19,80094
291,2912    19,90015
292,6912    20,00879
294,0912    20,1014
295,4912    20,20286
296,8912    20,30952
298,2912    20,40268
299,6912    20,50939
301,0912    20,60686
302,4911    20,71357
303,8911    20,80989
305,2911    20,91568
306,6911    21,00084
308,0911    21,10723
309,4911    21,21441
310,8911    21,3058
312,2911    21,41028
313,6911    21,51899
315,0911    21,60189
316,4911    21,70413
317,8911    21,80603
319,2911    21,91864
320,6911    22,01123
322,0911    22,11166
323,4911    22,2083
324,8911    22,30064
326,291    22,40883
327,971    22,52604
329,091    22,6131
330,491    22,70735
331,891    22,81439
333,291    22,90183
334,691    23,0141
336,091    23,10131
337,491    23,20607
339,171    23,32062
340,291    23,40631
341,691    23,51851
343,091    23,61652
344,491    23,70451
345,891    23,8131
347,291    23,90234
348,6909    24,01575
350,0909    24,10846
351,4909    24,20336
352,8909    24,30618
354,2909    24,40791
355,6909    24,50526
357,0909    24,60036
358,4909    24,70619
359,8909    24,80286
361,2909    24,90731
362,6909    25,01164
364,0909    25,1071
365,4909    25,21073
367,1709    25,32219
368,2862    25,41124
369,9662    25,52294
370,9462    25,6286
371,5063    25,71417
372,2063    25,81667
372,9064    25,91652
373,6065    26,01884
375,0065    26,10514
377,2465    26,21869
380,0464    26,3053
382,8464    26,40594
385,6464    26,51204
388,4464    26,61411
391,2464    26,71748
394,0464    26,81692
396,8464    26,91266
399,6464    27,01226
401,0464    27,11618
402,7263    27,2207
403,8463    27,30345
405,2463    27,40418
406,6463    27,51421
408,0463    27,60131
409,4213    27,70556
410,8213    27,80235
412,2213    27,90016
413,6212    28,01161
415,0212    28,10436
416,4212    28,20723
417,8212    28,30913
419,2212    28,40532
420,6212    28,50901
422,0212    28,60618
423,4212    28,70798
424,8212    28,81402
426,2212    28,91915
427,6212    29,00451
429,0212    29,10155
430,4212    29,21045
431,8212    29,30822
433,2212    29,41295
434,6212    29,5105
436,0211    29,61049
437,4211    29,7161
438,8211    29,80639
440,2211    29,91291
441,6211    30,01714
443,0211    30,11644
444,4211    30,20451
445,8211    30,30734
447,2211    30,41794
448,6211    30,50366
450,0211    30,60133
451,4211    30,70028
452,8211    30,80045
454,2211    30,91101
455,6211    31,01188
457,3011    31,12075
458,4211    31,20311
459,821    31,3187
461,221    31,41129
462,621    31,50443
464,021    31,61351
465,421    31,70125
466,821    31,81647
468,221    31,91601
469,901    32,02056
471,301    32,12035
472,421    32,20125
473,821    32,31718
475,221    32,40949
476,621    32,5136
478,021    32,61399
479,701    32,72153
480,821    32,81473
482,2209    32,91288
483,6209    33,00647
485,0209    33,11425
486,7009    33,22032
487,8209    33,30319
489,2209    33,41511
491,7409    33,50777
494,5409    33,61793
497,3409    33,707
500,1409    33,80737
502,9409    33,91522
505,7408    34,0162
507,1408    34,11179
508,5408    34,20402
509,9408    34,31826
511,3408    34,41764
513,0209    34,52171
514,1411    34,60614
515,5412    34,70212
516,9413    34,81661
518,3415    34,90621
519,7416    35,01239
521,1418    35,10976
522,5419    35,2178
523,9421    35,30318
525,3422    35,40132
526,7424    35,50569
528,1425    35,60124
529,5427    35,71244
530,9428    35,81245
532,343    35,91744
533,7431    36,00318
535,1432    36,1011
536,5434    36,21943
537,9435    36,31574
539,2968    36,41713
540,6969    36,51017
542,097    36,60823
543,4972    36,70718
544,8973    36,8056
546,2975    36,90117
547,6976    37,00344
549,0978    37,1151
550,4979    37,20624
551,8981    37,30785
553,2982    37,41616
554,6984    37,507
556,0985    37,60794
557,4987    37,70596
558,8988    37,80647
560,299    37,91112
561,6991    38,01094
563,0992    38,10603
564,4994    38,21826
565,8995    38,30224
567,2997    38,40281
568,6998    38,50903
570,1    38,60658
571,5001    38,71574
572,9003    38,81403
574,5804    38,92845
575,7006    39,00041
577,1007    39,11844
578,5009    39,21449
579,901    39,30001
581,3011    39,41812
583,2614    39,54392
584,3815    39,62368
585,5016    39,71033
586,9017    39,81838
588,5819    39,92709
589,9821    40,02236
591,1022    40,11681
592,5023    40,20879
593,9025    40,31416
595,3026    40,40823
596,7028    40,51323
598,1029    40,61658
599,5031    40,71818
600,9032    40,81602
602,5834    40,92284
603,7035    41,01007
605,1036    41,10649
606,5038    41,20029
607,9039    41,31061
609,3041    41,40545
610,9843    41,52034
612,1044    41,60099
613,5045    41,70724
614,9047    41,81767
616,3048    41,91028
617,705    42,00143
619,1051    42,10211
620,5052    42,20128
621,9054    42,3076
623,3055    42,4082
624,9857    42,52069
626,1058    42,61448
627,506    42,70504
628,9061    42,8161
630,3063    42,91177
631,7064    43,00929
633,1066    43,11894
634,5067    43,21165
635,9069    43,30166
637,307    43,41652
638,7072    43,50202
640,1073    43,60989
641,5074    43,71861
642,9076    43,8096
644,3077    43,90864
645,9879    44,02288
647,108    44,10367
648,5082    44,20022
650,1884    44,32089
651,3085    44,40793
652,9886    44,52053
654,1088    44,61026
655,5089    44,703
656,9091    44,81515
658,3092    44,90512
659,7139    45,00005
661,114    45,11393
662,5142    45,20156
663,9143    45,30148
665,5945    45,42353
666,9946    45,52156
668,1147    45,61572
669,7949    45,7277
670,915    45,80415
672,3152    45,91645
673,7153    46,01741
675,1155    46,10234
676,5156    46,20465
677,9158    46,31283
679,3159    46,41784
680,7161    46,50346
682,1162    46,60829
683,5164    46,70709
685,1965    46,82125
686,3167    46,90899
687,7168    47,00933
689,1169    47,11998
690,5171    47,20495
691,9172    47,31686
693,3174    47,41757
694,7175    47,50304
696,1177    47,617
697,5178    47,71251
698,918    47,80068
700,3181    47,91037
701,7183    48,00064
703,1184    48,10583
704,5186    48,21693
705,9187    48,31173
707,3188    48,41733
708,719    48,50738
710,1191    48,60642
711,5193    48,70424
712,9194    48,81699
714,3196    48,91519
715,7197    49,01285
717,1199    49,10161
718,52    49,20995
719,9202    49,31558
721,3203    49,4153
722,7205    49,50467
724,1206    49,61031
725,5208    49,71686
726,9209    49,80328
728,2922    49,90822
729,6924    50,00677
731,0925    50,10306
732,4927    50,20006
733,8928    50,31132
735,293    50,41484
736,6931    50,50323
738,0933    50,60908
739,7734    50,72006
740,8936    50,81485
742,5737    50,92111
743,6938    51,00148
745,094    51,10398
746,4941    51,21721
747,8943    51,31327
749,2944    51,41484
750,6946    51,50606
752,0947    51,60753
753,4949    51,70424
754,895    51,80441
756,2952    51,90194
757,6953    52,01365
759,0955    52,10639
760,4956    52,20839
761,8958    52,30304
763,2959    52,41439
764,696    52,50092
766,0962    52,61209
767,4963    52,70198
768,8965    52,80745
770,2966    52,90411
771,6968    53,00308
773,0969    53,1086
774,4971    53,21507
775,8972    53,3071
777,2974    53,41301
778,6975    53,50505
780,0977    53,61777
781,4978    53,70959
782,8979    53,80158
784,2981    53,91717
785,6982    54,01326
787,0984    54,10308
788,4985    54,21273
789,8987    54,31342
791,2988    54,40106
792,699    54,50142
794,0991    54,61715
795,4993    54,70296
796,8994    54,81894
798,2996    54,90026
799,6997    55,00812
801,0999    55,11024
802,5    55,21168
803,9001    55,31171
805,3003    55,40386
806,7004    55,50148
808,1006    55,60453
809,5007    55,70613
810,9009    55,8195
811,881    55,91454
812,5811    56,01355
813,9812    56,11378
815,3813    56,20839
816,7815    56,30587
818,1816    56,41204
819,5818    56,51167
820,9819    56,60812
822,3821    56,71376
823,7822    56,80333
825,1824    56,91189
826,5825    57,00994
827,9827    57,1119
829,3828    57,21041
830,783    57,30508
832,1831    57,4154
833,5833    57,51374
834,9834    57,60813
836,3835    57,70626
837,7837    57,80373
839,1838    57,91292
840,584    58,00296
841,9841    58,1041
843,3843    58,2003
844,7844    58,30985
846,137    58,41193
848,657    58,5087
851,457    58,60415
856,4969    58,71133
862,0969    58,8036
867,6969    58,91277
873,2969    59,00217
874,697    59,10779
876,0972    59,20397
877,4973    59,3047
878,8975    59,40498
880,2976    59,51186
881,6978    59,60638
883,0979    59,70889
884,498    59,81443
885,8982    59,90976
887,2983    60,01004
888,6985    60,10025
890,0986    60,205
891,4988    60,31105
892,8989    60,4113
894,2991    60,50403
895,6992    60,61535
897,0994    60,7023
898,4995    60,80799
899,8997    60,90517
901,2998    61,01169
902,7    61,10053
904,1001    61,20897
905,5002    61,30338
906,9004    61,41006
908,3005    61,50514
909,7007    61,60468
911,1008    61,71086
912,501    61,8019
913,9011    61,9136
915,3013    62,01207
916,7014    62,11087
918,1016    62,20874
919,5017    62,30364
920,9019    62,40749
922,302    62,50214
923,7021    62,60698
925,1023    62,71464
926,5024    62,80726
927,9026    62,91139
929,3027    63,01067
930,7029    63,10047
932,103    63,20473
933,5032    63,30761
934,9033    63,41014
936,3035    63,50687
937,7036    63,60649
940,5036    63,70069
943,3036    63,80553
946,1036    63,90316
948,9036    64,00887
950,3037    64,11006
951,7039    64,20453
953,104    64,30606
954,5042    64,40365
955,9043    64,5017
957,5845    64,62103
958,7046    64,70417
960,1047    64,80173
961,5049    64,90853
962,905    65,00177
964,3052    65,10487
965,7053    65,20649
967,1055    65,30658
968,5056    65,40511
969,9058    65,50523
971,3059    65,60042
972,7061    65,70678
974,1062    65,80247
975,5063    65,90051
976,9065    66,01233
978,3066    66,11192
979,7068    66,20894
981,1069    66,30295
982,5071    66,40341
983,9072    66,50437
985,3074    66,61094
986,7075    66,70536
988,1077    66,80687
989,5078    66,91296
990,908    67,00445
992,3081    67,11213
993,7083    67,20308
995,1084    67,30131
996,5085    67,41051
997,9087    67,51133
999,3088    67,60482
